source,target,weight,x,u,tau_F,tau_D
2,1600,17.04255965118713,1.0,0.19,1500.0,200.0
2,3456,17.04255965118713,1.0,0.19,1500.0,200.0
2,7640,17.04255965118713,1.0,0.19,1500.0,200.0
2,1288,17.04255965118713,1.0,0.19,1500.0,200.0
2,7224,17.04255965118713,1.0,0.19,1500.0,200.0
2,712,76.69151843034209,1.0,0.19,1500.0,200.0
2,3680,17.04255965118713,1.0,0.19,1500.0,200.0
2,7704,17.04255965118713,1.0,0.19,1500.0,200.0
2,4552,17.04255965118713,1.0,0.19,1500.0,200.0
2,1896,17.04255965118713,1.0,0.19,1500.0,200.0
2,6192,17.04255965118713,1.0,0.19,1500.0,200.0
2,2744,17.04255965118713,1.0,0.19,1500.0,200.0
2,2552,17.04255965118713,1.0,0.19,1500.0,200.0
2,7736,17.04255965118713,1.0,0.19,1500.0,200.0
2,272,76.69151843034209,1.0,0.19,1500.0,200.0
2,1840,17.04255965118713,1.0,0.19,1500.0,200.0
2,5848,17.04255965118713,1.0,0.19,1500.0,200.0
2,4224,17.04255965118713,1.0,0.19,1500.0,200.0
2,2984,17.04255965118713,1.0,0.19,1500.0,200.0
2,5944,17.04255965118713,1.0,0.19,1500.0,200.0
2,7032,17.04255965118713,1.0,0.19,1500.0,200.0
2,6128,17.04255965118713,1.0,0.19,1500.0,200.0
2,3952,17.04255965118713,1.0,0.19,1500.0,200.0
2,4944,17.04255965118713,1.0,0.19,1500.0,200.0
2,2336,17.04255965118713,1.0,0.19,1500.0,200.0
2,2080,17.04255965118713,1.0,0.19,1500.0,200.0
2,4840,17.04255965118713,1.0,0.19,1500.0,200.0
2,424,76.69151843034209,1.0,0.19,1500.0,200.0
2,7192,17.04255965118713,1.0,0.19,1500.0,200.0
2,592,76.69151843034209,1.0,0.19,1500.0,200.0
2,576,76.69151843034209,1.0,0.19,1500.0,200.0
2,2952,17.04255965118713,1.0,0.19,1500.0,200.0
2,240,76.69151843034209,1.0,0.19,1500.0,200.0
2,6480,17.04255965118713,1.0,0.19,1500.0,200.0
2,4280,17.04255965118713,1.0,0.19,1500.0,200.0
2,2032,17.04255965118713,1.0,0.19,1500.0,200.0
2,2344,17.04255965118713,1.0,0.19,1500.0,200.0
2,1696,17.04255965118713,1.0,0.19,1500.0,200.0
2,2184,17.04255965118713,1.0,0.19,1500.0,200.0
2,4560,17.04255965118713,1.0,0.19,1500.0,200.0
2,4064,17.04255965118713,1.0,0.19,1500.0,200.0
2,7840,17.04255965118713,1.0,0.19,1500.0,200.0
2,6272,17.04255965118713,1.0,0.19,1500.0,200.0
2,2384,17.04255965118713,1.0,0.19,1500.0,200.0
2,7584,17.04255965118713,1.0,0.19,1500.0,200.0
2,6832,17.04255965118713,1.0,0.19,1500.0,200.0
2,2024,17.04255965118713,1.0,0.19,1500.0,200.0
2,3728,17.04255965118713,1.0,0.19,1500.0,200.0
2,3056,17.04255965118713,1.0,0.19,1500.0,200.0
2,5784,17.04255965118713,1.0,0.19,1500.0,200.0
2,4776,17.04255965118713,1.0,0.19,1500.0,200.0
2,1192,17.04255965118713,1.0,0.19,1500.0,200.0
2,776,76.69151843034209,1.0,0.19,1500.0,200.0
2,2536,17.04255965118713,1.0,0.19,1500.0,200.0
2,3904,17.04255965118713,1.0,0.19,1500.0,200.0
2,4896,17.04255965118713,1.0,0.19,1500.0,200.0
2,1304,17.04255965118713,1.0,0.19,1500.0,200.0
2,1680,17.04255965118713,1.0,0.19,1500.0,200.0
2,6064,17.04255965118713,1.0,0.19,1500.0,200.0
2,6464,17.04255965118713,1.0,0.19,1500.0,200.0
