time,source,target,x,u,t_last_spike
190.0,994,1624,1.0,0.19,-1.0
190.0,995,6285,1.0,0.19,-1.0
190.0,996,4254,1.0,0.19,-1.0
190.0,997,5099,0.6561,0.3439,158.70000000000002
190.0,998,2379,0.6561,0.3439,75.7
190.0,999,5205,1.0,0.19,-1.0
190.0,1000,3403,1.0,0.19,-1.0
190.0,1001,4240,0.6561,0.3439,159.45000000000002
190.0,1002,2269,1.0,0.19,-1.0
190.0,1003,7936,1.0,0.19,-1.0
190.0,1004,786,1.0,0.19,-1.0
190.0,1005,2808,1.0,0.19,-1.0
190.0,1006,5291,1.0,0.19,-1.0
190.0,1007,5443,1.0,0.19,-1.0
190.0,1008,6696,0.6561,0.3439,19.3
190.0,1009,4221,1.0,0.19,-1.0
190.0,1010,7909,0.6561,0.3439,55.85
190.0,1011,2524,1.0,0.19,-1.0
190.0,1012,5628,1.0,0.19,-1.0
190.0,1013,127,1.0,0.19,-1.0
190.0,1014,2718,0.6561,0.3439,52.5
190.0,1015,7344,1.0,0.19,-1.0
190.0,1016,7940,1.0,0.19,-1.0
190.0,1017,1050,1.0,0.19,-1.0
190.0,1018,117,1.0,0.19,-1.0
190.0,1019,6760,1.0,0.19,-1.0
190.0,1020,4844,1.0,0.19,-1.0
190.0,1021,6874,1.0,0.19,-1.0
190.0,1022,2272,1.0,0.19,-1.0
190.0,1023,3649,1.0,0.19,-1.0
190.0,1024,1153,1.0,0.19,-1.0
190.0,1025,3408,1.0,0.19,-1.0
190.0,1026,5335,0.6561,0.3439,177.65
190.0,1027,5883,1.0,0.19,-1.0
190.0,1028,2288,1.0,0.19,-1.0
190.0,1029,2186,1.0,0.19,-1.0
190.0,1030,696,1.0,0.19,-1.0
190.0,1031,1554,1.0,0.19,-1.0
190.0,1032,1546,0.6561,0.3439,158.70000000000002
190.0,1033,6056,1.0,0.19,-1.0
190.0,1034,1997,1.0,0.19,-1.0
190.0,1035,4912,1.0,0.19,-1.0
190.0,1036,6164,1.0,0.19,-1.0
190.0,1037,7504,1.0,0.19,-1.0
190.0,1038,6338,1.0,0.19,-1.0
190.0,1039,3523,0.6561,0.3439,80.25
190.0,1040,3040,1.0,0.19,-1.0
190.0,1041,2602,1.0,0.19,-1.0
190.0,1042,6404,1.0,0.19,-1.0
190.0,1043,2837,1.0,0.19,-1.0
190.0,1044,4608,1.0,0.19,-1.0
190.0,1045,5151,1.0,0.19,-1.0
190.0,1046,3395,1.0,0.19,-1.0
190.0,1047,5692,0.6561,0.3439,114.10000000000001
190.0,1048,398,1.0,0.19,-1.0
190.0,1049,1788,1.0,0.19,-1.0
190.0,1050,3880,1.0,0.19,-1.0
190.0,1051,5269,1.0,0.19,-1.0
190.0,1052,380,1.0,0.19,-1.0
190.0,1053,603,1.0,0.19,-1.0
190.0,1054,740,1.0,0.19,-1.0
190.0,1055,6942,1.0,0.19,-1.0
190.0,1056,2815,1.0,0.19,-1.0
