source,target,weight,x,u,tau_F,tau_D
1,2241,17.04255965118713,1.0,0.19,1500.0,200.0
1,5513,17.04255965118713,1.0,0.19,1500.0,200.0
1,5361,17.04255965118713,1.0,0.19,1500.0,200.0
1,5601,17.04255965118713,1.0,0.19,1500.0,200.0
1,89,76.69151843034209,1.0,0.19,1500.0,200.0
1,193,76.69151843034209,1.0,0.19,1500.0,200.0
1,6513,17.04255965118713,1.0,0.19,1500.0,200.0
1,681,76.69151843034209,1.0,0.19,1500.0,200.0
1,1921,17.04255965118713,1.0,0.19,1500.0,200.0
1,2649,17.04255965118713,1.0,0.19,1500.0,200.0
1,921,17.04255965118713,1.0,0.19,1500.0,200.0
1,6025,17.04255965118713,1.0,0.19,1500.0,200.0
1,4081,17.04255965118713,1.0,0.19,1500.0,200.0
1,4041,17.04255965118713,1.0,0.19,1500.0,200.0
1,5121,17.04255965118713,1.0,0.19,1500.0,200.0
1,6673,17.04255965118713,1.0,0.19,1500.0,200.0
1,6873,17.04255965118713,1.0,0.19,1500.0,200.0
1,1881,17.04255965118713,1.0,0.19,1500.0,200.0
1,561,76.69151843034209,1.0,0.19,1500.0,200.0
1,81,76.69151843034209,1.0,0.19,1500.0,200.0
1,6233,17.04255965118713,1.0,0.19,1500.0,200.0
1,4241,17.04255965118713,1.0,0.19,1500.0,200.0
1,7425,17.04255965118713,1.0,0.19,1500.0,200.0
1,7505,17.04255965118713,1.0,0.19,1500.0,200.0
1,2969,17.04255965118713,1.0,0.19,1500.0,200.0
1,7545,17.04255965118713,1.0,0.19,1500.0,200.0
1,761,76.69151843034209,1.0,0.19,1500.0,200.0
1,6393,17.04255965118713,1.0,0.19,1500.0,200.0
1,7465,17.04255965118713,1.0,0.19,1500.0,200.0
1,2441,17.04255965118713,1.0,0.19,1500.0,200.0
1,3481,17.04255965118713,1.0,0.19,1500.0,200.0
1,7033,17.04255965118713,1.0,0.19,1500.0,200.0
1,961,17.04255965118713,1.0,0.19,1500.0,200.0
1,273,76.69151843034209,1.0,0.19,1500.0,200.0
1,5393,17.04255965118713,1.0,0.19,1500.0,200.0
1,6441,17.04255965118713,1.0,0.19,1500.0,200.0
2,7681,17.04255965118713,1.0,0.19,1500.0,200.0
2,1673,17.04255965118713,1.0,0.19,1500.0,200.0
2,1185,17.04255965118713,1.0,0.19,1500.0,200.0
2,5345,17.04255965118713,1.0,0.19,1500.0,200.0
2,5577,17.04255965118713,1.0,0.19,1500.0,200.0
2,6193,17.04255965118713,1.0,0.19,1500.0,200.0
2,65,76.69151843034209,1.0,0.19,1500.0,200.0
2,2121,17.04255965118713,1.0,0.19,1500.0,200.0
2,4281,17.04255965118713,1.0,0.19,1500.0,200.0
2,7097,17.04255965118713,1.0,0.19,1500.0,200.0
2,4945,17.04255965118713,1.0,0.19,1500.0,200.0
2,2529,17.04255965118713,1.0,0.19,1500.0,200.0
2,5281,17.04255965118713,1.0,0.19,1500.0,200.0
2,5497,17.04255965118713,1.0,0.19,1500.0,200.0
2,4825,17.04255965118713,1.0,0.19,1500.0,200.0
2,473,76.69151843034209,1.0,0.19,1500.0,200.0
2,385,76.69151843034209,1.0,0.19,1500.0,200.0
2,7057,17.04255965118713,1.0,0.19,1500.0,200.0
2,6673,17.04255965118713,1.0,0.19,1500.0,200.0
2,3089,17.04255965118713,1.0,0.19,1500.0,200.0
2,105,76.69151843034209,1.0,0.19,1500.0,200.0
2,6633,17.04255965118713,1.0,0.19,1500.0,200.0
2,5913,17.04255965118713,1.0,0.19,1500.0,200.0
2,961,17.04255965118713,1.0,0.19,1500.0,200.0
2,721,76.69151843034209,1.0,0.19,1500.0,200.0
2,2785,17.04255965118713,1.0,0.19,1500.0,200.0
2,4201,17.04255965118713,1.0,0.19,1500.0,200.0
2,5777,17.04255965118713,1.0,0.19,1500.0,200.0
2,2641,17.04255965118713,1.0,0.19,1500.0,200.0
2,201,76.69151843034209,1.0,0.19,1500.0,200.0
2,3609,17.04255965118713,1.0,0.19,1500.0,200.0
2,3825,17.04255965118713,1.0,0.19,1500.0,200.0
2,7745,17.04255965118713,1.0,0.19,1500.0,200.0
2,1321,17.04255965118713,1.0,0.19,1500.0,200.0
2,6873,17.04255965118713,1.0,0.19,1500.0,200.0
2,2145,17.04255965118713,1.0,0.19,1500.0,200.0
2,6097,17.04255965118713,1.0,0.19,1500.0,200.0
2,7305,17.04255965118713,1.0,0.19,1500.0,200.0
2,41,76.69151843034209,1.0,0.19,1500.0,200.0
2,1265,17.04255965118713,1.0,0.19,1500.0,200.0
2,4641,17.04255965118713,1.0,0.19,1500.0,200.0
2,5593,17.04255965118713,1.0,0.19,1500.0,200.0
2,6473,17.04255965118713,1.0,0.19,1500.0,200.0
2,185,76.69151843034209,1.0,0.19,1500.0,200.0
2,4721,17.04255965118713,1.0,0.19,1500.0,200.0
2,5385,17.04255965118713,1.0,0.19,1500.0,200.0
2,2153,17.04255965118713,1.0,0.19,1500.0,200.0
2,2729,17.04255965118713,1.0,0.19,1500.0,200.0
2,5977,17.04255965118713,1.0,0.19,1500.0,200.0
2,2865,17.04255965118713,1.0,0.19,1500.0,200.0
2,4369,17.04255965118713,1.0,0.19,1500.0,200.0
2,6233,17.04255965118713,1.0,0.19,1500.0,200.0
2,2521,17.04255965118713,1.0,0.19,1500.0,200.0
2,1809,17.04255965118713,1.0,0.19,1500.0,200.0
2,5697,17.04255965118713,1.0,0.19,1500.0,200.0
2,7113,17.04255965118713,1.0,0.19,1500.0,200.0
2,3313,17.04255965118713,1.0,0.19,1500.0,200.0
2,1305,17.04255965118713,1.0,0.19,1500.0,200.0
2,4065,17.04255965118713,1.0,0.19,1500.0,200.0
2,4345,17.04255965118713,1.0,0.19,1500.0,200.0
2,5721,17.04255965118713,1.0,0.19,1500.0,200.0
2,7505,17.04255965118713,1.0,0.19,1500.0,200.0
2,681,76.69151843034209,1.0,0.19,1500.0,200.0
2,761,76.69151843034209,1.0,0.19,1500.0,200.0
2,6945,17.04255965118713,1.0,0.19,1500.0,200.0
2,7073,17.04255965118713,1.0,0.19,1500.0,200.0
2,273,76.69151843034209,1.0,0.19,1500.0,200.0
2,3929,17.04255965118713,1.0,0.19,1500.0,200.0
2,4633,17.04255965118713,1.0,0.19,1500.0,200.0
2,5145,17.04255965118713,1.0,0.19,1500.0,200.0
